,acc_ideal,acc_base_gps,acc_base_acc,acc_coarse,acc_summary_mean,acc_summary_var,acc_summary_med,acc_summary_stats,acc_summary_density,acc_summary_quantile
1,0.9979,0.9378,0.9682,0.9356,1.0000,0.9644,0.9978,1.0000,0.9933,0.9989
2,0.9981,0.8622,0.9708,0.9222,0.9989,0.9733,0.9989,0.9989,0.9878,1.0000
3,0.9983,0.9011,0.9659,0.9300,0.9989,0.9467,0.9989,0.9978,0.9789,0.9978
4,0.9984,0.8144,0.9678,0.8811,0.9989,0.9767,0.9989,0.9978,0.9789,0.9978
5,0.9985,0.9167,0.9673,0.9344,1.0000,0.9633,0.9978,1.0000,0.9933,1.0000
6,0.9981,0.9011,0.9685,0.9244,1.0000,0.9644,0.9978,1.0000,0.9978,1.0000
7,0.9986,0.8800,0.9662,0.9367,1.0000,0.9767,0.9978,1.0000,0.9856,0.9989
8,0.9990,0.8378,0.9692,0.8900,0.9989,0.9456,0.9989,0.9978,0.9944,0.9989
9,0.9984,0.8444,0.9640,0.9200,1.0000,0.9544,0.9967,0.9989,0.9833,0.9989
10,0.9984,0.9067,0.9657,0.9189,1.0000,0.9589,0.9978,1.0000,0.9867,1.0000
11,0.9982,0.8856,0.9729,0.9289,1.0000,0.9678,0.9956,1.0000,0.9922,1.0000
12,0.9990,0.8744,0.9671,0.9400,1.0000,0.9722,0.9989,0.9989,0.9933,0.9989
13,0.9984,0.8900,0.9627,0.8989,1.0000,0.9489,0.9967,0.9989,0.9878,1.0000
14,0.9988,0.7844,0.9666,0.8422,1.0000,0.9633,0.9989,1.0000,0.9933,1.0000
15,0.9984,0.9078,0.9675,0.9256,0.9989,0.9667,0.9978,0.9967,0.9900,0.9967
16,0.9985,0.9256,0.9658,0.9378,1.0000,0.9733,0.9978,0.9978,0.9900,0.9989
17,0.9983,0.9411,0.9667,0.9556,0.9989,0.9656,0.9978,0.9978,0.9933,0.9967
18,0.9986,0.9133,0.9608,0.9278,1.0000,0.9700,0.9956,1.0000,0.9956,0.9978
19,0.9983,0.9400,0.9647,0.9467,0.9989,0.9633,0.9978,0.9989,0.9900,0.9989
20,0.9982,0.8700,0.9648,0.9078,1.0000,0.9511,0.9978,1.0000,0.9911,1.0000
