,acc_ideal,acc_base_gps,acc_base_acc,acc_coarse,acc_summary_mean,acc_summary_var,acc_summary_med,acc_summary_stats,acc_summary_density,acc_summary_quantile
1,0.9984,0.6167,0.9672,0.6211,1.0000,1.0000,1.0000,1.0000,0.9978,1.0000
2,0.9990,0.6844,0.9667,0.6922,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3,0.9991,0.6844,0.9688,0.6878,1.0000,0.9978,1.0000,1.0000,1.0000,1.0000
4,0.9988,0.7389,0.9670,0.8333,1.0000,0.9989,1.0000,0.9989,1.0000,1.0000
5,0.9989,0.7633,0.9662,0.7367,1.0000,1.0000,1.0000,1.0000,0.9978,0.9989
6,0.9990,0.6433,0.9663,0.6567,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
7,0.9989,0.6333,0.9644,0.6389,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
8,0.9984,0.6311,0.9660,0.6289,1.0000,0.9989,1.0000,1.0000,0.9989,1.0000
9,0.9991,0.6867,0.9618,0.8378,1.0000,0.9989,1.0000,1.0000,1.0000,1.0000
10,0.9989,0.6700,0.9631,0.6844,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
11,0.9986,0.7200,0.9710,0.7167,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
12,0.9987,0.6078,0.9674,0.8433,1.0000,1.0000,1.0000,1.0000,0.9989,1.0000
13,0.9992,0.7289,0.9681,0.7344,1.0000,1.0000,1.0000,1.0000,0.9989,0.9989
14,0.9987,0.6633,0.9686,0.8444,1.0000,1.0000,1.0000,1.0000,0.9989,1.0000
15,0.9993,0.6056,0.9719,0.8422,1.0000,0.9989,1.0000,1.0000,1.0000,1.0000
16,0.9987,0.6322,0.9673,0.6267,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
17,0.9992,0.8178,0.9639,0.8367,1.0000,0.9989,1.0000,1.0000,1.0000,0.9989
18,0.9988,0.6789,0.9649,0.8500,1.0000,0.9978,1.0000,1.0000,1.0000,1.0000
19,0.9990,0.6133,0.9668,0.6178,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
20,0.9990,0.6322,0.9660,0.6200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
